id_player,id_nationality,nationality,nationality_url
230919,42,Scotland,https://images.ctfassets.net/rs6bgs1g8dbr/7eFwNyL2kYdVCHj8wqEySc/26c7e6057100962e21ec2866af986f20/f_42.png
276490,4,Austria,https://images.ctfassets.net/rs6bgs1g8dbr/3bg83r6RvRyBDVYHtgg2xb/a485aa53dc1601dde6ef38461b136af3/f_4.png
272304,133,Nigeria,https://images.ctfassets.net/rs6bgs1g8dbr/295ony5xEfG2G4YAB0W9mW/3a27c0494c7df2afeb1fa42963186f7d/f_133.png
216265,146,Uganda,https://images.ctfassets.net/rs6bgs1g8dbr/75mIgsN4mbdpSP9EydNA5Z/cc8e516879a8c9967bc9adf418295bd5/f_146.png
272943,44,Slovenia,https://images.ctfassets.net/rs6bgs1g8dbr/29GBdG097LzE0BZ6AvKmQq/e2c75531658f4ca40974e596e478bbaf/f_44.png
257819,39,Romania,https://images.ctfassets.net/rs6bgs1g8dbr/1YqdTsOkAAOwdGZpxh6GKc/9357385650c1ca68cbf97f6d6539f2d0/f_39.png
271156,24,Iceland,https://images.ctfassets.net/rs6bgs1g8dbr/g9DJecGCay5bQ0S3AZv3v/113ee66a1c43d2fbbd5f23876536d619/f_24.png
276028,107,Congo,https://images.ctfassets.net/rs6bgs1g8dbr/1KJq0o0M8Yr65K00N5gmvH/51549a5d245f7dc5791959edce9528d5/f_107.png
265788,162,Iraq,https://images.ctfassets.net/rs6bgs1g8dbr/59zpLKIqysL9AFoGgeWquk/c2ccc799f2e16753353908d939883130/f_162.png
266031,45,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png
257765,39,Romania,https://images.ctfassets.net/rs6bgs1g8dbr/1YqdTsOkAAOwdGZpxh6GKc/9357385650c1ca68cbf97f6d6539f2d0/f_39.png
222503,14,England,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png
210182,183,Saudi Arabia,https://images.ctfassets.net/rs6bgs1g8dbr/2xsKj3yNx1mgGplLsByo20/3e0c188c1a4ca0cfb970f9481eec026d/f_183.png
251336,116,Gambia,https://images.ctfassets.net/rs6bgs1g8dbr/3Koal9b4kznX5fjeGRhexb/7d7a0d09daf5fa8d539a084d23cab758/f_116.png
263840,14,England,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png
271258,80,Haiti,https://images.ctfassets.net/rs6bgs1g8dbr/2Y4CIPY5qqKZM92ZeeVUOh/8c2eb705e9924d69e6a9cf22e28a202c/f_80.png
275153,46,Sweden,https://images.ctfassets.net/rs6bgs1g8dbr/7vUEmhKkNiLDphHke6I06M/8f6b05ca7c6dea978d19a05d56dfc708/f_46.png
266858,215,New Caledonia,https://images.ctfassets.net/rs6bgs1g8dbr/8JQXdGXabA1kCbTZMtsgX/8f2132dd5ba2fa4f5431da5a8b32217d/f_215.png
212065,167,Korea Republic,https://images.ctfassets.net/rs6bgs1g8dbr/3IcFm1ClLrc9g38tLxzRq/b483ff34617754ee59cb514ef3094836/f_167.png
272090,45,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png
255337,25,Republic of Ireland,https://images.ctfassets.net/rs6bgs1g8dbr/7wqrccWa5P7Dvwfm6zOMyI/7e34fe9c41e745f4073536114165a2e8/f_25.png
261028,46,Sweden,https://images.ctfassets.net/rs6bgs1g8dbr/7vUEmhKkNiLDphHke6I06M/8f6b05ca7c6dea978d19a05d56dfc708/f_46.png
262832,143,Tanzania,https://images.ctfassets.net/rs6bgs1g8dbr/2eFjj43zEn9AHtCtZJc1kB/bbd39757a89fe9e6d768e73f87286e71/f_143.png
214134,14,England,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png
273508,95,United States,https://images.ctfassets.net/rs6bgs1g8dbr/5cf40Cv4RRYt6T3ArGJOR1/aec9f45e482b9e325eab179be6a66963/f_95.png
71174,13,Denmark,https://images.ctfassets.net/rs6bgs1g8dbr/W41LohXCFJWoEhvtE1Lva/4b6c673873626d7dd28de8fbfe8f7127/f_13.png
262639,51,Serbia,https://images.ctfassets.net/rs6bgs1g8dbr/2FEGjkYVxKR5rKjPaAEmOS/15cdaa7df795b3ed40e120fa84b11cab/f_51.png
234466,52,Argentina,https://images.ctfassets.net/rs6bgs1g8dbr/2WDsnQSFUeeDtN5E5VaRtQ/fd880af45fc99e56aac677d6bf583d77/f_52.png
247309,95,United States,https://images.ctfassets.net/rs6bgs1g8dbr/5cf40Cv4RRYt6T3ArGJOR1/aec9f45e482b9e325eab179be6a66963/f_95.png
201514,110,Congo DR,https://images.ctfassets.net/rs6bgs1g8dbr/2bf4GsA5X3C1osEExUWR7L/b451084265c8f20eec8c3a7801cc4be5/f_110.png
272876,51,Serbia,https://images.ctfassets.net/rs6bgs1g8dbr/2FEGjkYVxKR5rKjPaAEmOS/15cdaa7df795b3ed40e120fa84b11cab/f_51.png
235253,21,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png
267941,138,Sierra Leone,https://images.ctfassets.net/rs6bgs1g8dbr/4SivkTo1aX8wC0VhxLOqps/7866651685bbfdca6682d28c2f186d6e/f_138.png
244626,138,Sierra Leone,https://images.ctfassets.net/rs6bgs1g8dbr/4SivkTo1aX8wC0VhxLOqps/7866651685bbfdca6682d28c2f186d6e/f_138.png
269951,21,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png
276158,23,Hungary,https://images.ctfassets.net/rs6bgs1g8dbr/1UhlxXb91m3RCvuMXGGxjQ/ab14c408f39056b9573d19f854f9078e/f_23.png
263275,95,United States,https://images.ctfassets.net/rs6bgs1g8dbr/5cf40Cv4RRYt6T3ArGJOR1/aec9f45e482b9e325eab179be6a66963/f_95.png
262674,21,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png
260951,25,Republic of Ireland,https://images.ctfassets.net/rs6bgs1g8dbr/7wqrccWa5P7Dvwfm6zOMyI/7e34fe9c41e745f4073536114165a2e8/f_25.png
